date,fgi,sentiment,indicators_available,price_momentum,market_breadth,volatility,volume,margin_sentiment,limit_ratio,northbound,turnover
2025-06-24,59.46712018140589,中性,7,48.41269841269841,68.25396825396825,88.4920634920635,67.06349206349206,,18.650793650793652,69.84126984126983,55.55555555555556
2025-06-25,69.359410430839,贪婪,7,55.55555555555556,71.42857142857143,80.15873015873015,79.76190476190477,,58.53174603174603,74.20634920634922,65.87301587301587
2025-06-26,70.03968253968253,贪婪,7,52.38095238095239,68.65079365079364,83.33333333333334,75.79365079365078,,73.61111111111111,72.61904761904762,63.888888888888886
2025-06-27,67.97052154195012,贪婪,7,48.80952380952381,67.85714285714286,85.71428571428572,74.20634920634922,,76.98412698412699,58.730158730158735,63.49206349206349
2025-06-30,60.11904761904763,贪婪,7,50.0,68.25396825396825,86.9047619047619,71.03174603174604,,49.007936507936506,38.88888888888889,56.74603174603175
2025-07-01,66.86507936507935,贪婪,6,50.0,73.80952380952381,88.0952380952381,64.68253968253968,,68.25396825396825,,56.34920634920635
2025-07-02,57.42630385487528,中性,7,49.60317460317461,72.61904761904762,90.87301587301587,59.523809523809526,,33.33333333333333,42.06349206349206,53.96825396825397
2025-07-03,63.35034013605442,贪婪,7,55.158730158730165,78.17460317460318,88.4920634920635,56.74603174603175,,64.0873015873016,54.36507936507936,46.42857142857143
2025-07-04,62.44331065759638,贪婪,7,57.14285714285714,77.38095238095238,87.3015873015873,67.06349206349206,,34.72222222222222,57.936507936507944,55.55555555555556
2025-07-07,58.70181405895692,中性,7,53.17460317460318,70.23809523809523,94.04761904761905,45.63492063492063,,57.738095238095234,55.158730158730165,34.92063492063492
2025-07-08,71.17346938775509,贪婪,7,59.12698412698413,84.12698412698413,92.85714285714286,65.47619047619048,,78.76984126984127,63.49206349206349,54.36507936507936
2025-07-09,71.76870748299321,贪婪,7,57.14285714285714,80.55555555555556,95.63492063492063,69.04761904761905,,78.57142857142857,60.71428571428571,60.71428571428571
2025-07-10,70.86167800453515,贪婪,7,61.50793650793651,87.3015873015873,94.04761904761905,67.06349206349206,,50.0,73.4126984126984,62.698412698412696
2025-07-11,78.28798185941044,贪婪,7,62.698412698412696,87.3015873015873,96.82539682539682,84.92063492063492,,56.34920634920635,82.53968253968253,77.38095238095238
2025-07-14,62.78344671201814,贪婪,7,62.698412698412696,88.88888888888889,97.22222222222223,61.50793650793651,,35.11904761904761,35.714285714285715,58.333333333333336
2025-07-15,68.93424036281179,贪婪,7,61.904761904761905,83.73015873015873,97.22222222222223,78.57142857142857,,21.03174603174603,72.61904761904762,67.46031746031747
2025-07-16,69.84126984126985,贪婪,7,56.34920634920635,80.55555555555556,96.42857142857143,63.095238095238095,,71.82539682539682,70.63492063492063,50.0
2025-07-17,74.37641723356009,贪婪,7,64.68253968253968,74.60317460317461,95.63492063492063,72.22222222222221,,86.5079365079365,72.22222222222221,54.761904761904766
2025-07-18,76.33219954648527,贪婪,7,66.66666666666666,81.74603174603175,93.25396825396825,76.98412698412699,,81.94444444444444,74.20634920634922,59.523809523809526
2025-07-21,80.72562358276643,极度贪婪,7,69.44444444444444,89.88095238095238,91.26984126984127,84.12698412698413,,82.73809523809523,74.60317460317461,73.01587301587301
